id,source_id,kind,origin_id,title,url,author,summary_raw,event_time,status,created_at
15,7,github:release,release:253751643,🔖 pytorch/pytorch — v2.9.0,https://github.com/pytorch/pytorch/releases/tag/v2.9.0,pytorch,2.9 Release Notes,2025-10-15 17:12:27+00,enriched,2025-11-03 14:13:31.273252+00
16,7,github:release,release:238050335,🔖 pytorch/pytorch — v2.8.0,https://github.com/pytorch/pytorch/releases/tag/v2.8.0,pytorch,PyTorch 2.8.0 Release,2025-08-06 17:06:10+00,enriched,2025-11-03 14:13:34.043438+00
17,7,github:release,release:223157547,🔖 pytorch/pytorch — v2.7.1,https://github.com/pytorch/pytorch/releases/tag/v2.7.1,pytorch,"PyTorch 2.7.1 Release, bug fix release",2025-06-04 18:13:15+00,enriched,2025-11-03 14:13:36.987253+00
18,7,github:tag,tag:whc_flight_4,🏷️ pytorch/pytorch — Tag whc_flight_4,https://github.com/pytorch/pytorch/releases/tag/whc_flight_4,pytorch,,,enriched,2025-11-03 14:13:43.424588+00
19,7,github:tag,tag:whc_flight_2,🏷️ pytorch/pytorch — Tag whc_flight_2,https://github.com/pytorch/pytorch/releases/tag/whc_flight_2,pytorch,,,enriched,2025-11-03 14:13:46.45621+00
20,7,github:tag,tag:whc_flight_1,🏷️ pytorch/pytorch — Tag whc_flight_1,https://github.com/pytorch/pytorch/releases/tag/whc_flight_1,pytorch,,,enriched,2025-11-03 14:13:49.136148+00
21,16,github:release,release:254417148,🔖 huggingface/transformers — v4.57.1,https://github.com/huggingface/transformers/releases/tag/v4.57.1,huggingface,Patch release v4.57.1,2025-10-14 15:39:34+00,enriched,2025-11-03 14:13:52.558854+00
22,16,github:release,release:251936992,🔖 huggingface/transformers — v4.57.0,https://github.com/huggingface/transformers/releases/tag/v4.57.0,huggingface,"v4.57.0: Qwen3-Next, Vault Gemma, Qwen3 VL, LongCat Flash, Flex OLMO, LFM2 VL, BLT, Qwen3 OMNI MoE, Parakeet, EdgeTAM, OLMO3",2025-10-03 17:04:51+00,enriched,2025-11-03 14:13:55.746331+00
23,16,github:release,release:247897629,🔖 huggingface/transformers — v4.56.2,https://github.com/huggingface/transformers/releases/tag/v4.56.2,huggingface," Patch release v4.56.2",2025-09-17 09:13:17+00,enriched,2025-11-03 14:13:57.99947+00
24,16,github:tag,tag:v4.57.1,🏷️ huggingface/transformers — Tag v4.57.1,https://github.com/huggingface/transformers/releases/tag/v4.57.1,huggingface,,,enriched,2025-11-03 14:14:00.959189+00
25,16,github:tag,tag:v4.57.0,🏷️ huggingface/transformers — Tag v4.57.0,https://github.com/huggingface/transformers/releases/tag/v4.57.0,huggingface,,,enriched,2025-11-03 14:14:03.628944+00
