id,kind,title,url,event_time,score,tags,summary_ai
15,github:release,🔖 pytorch/pytorch — v2.9.0,https://github.com/pytorch/pytorch/releases/tag/v2.9.0,2025-10-15 17:12:27+00,0.85,"[""GitHub"",""Release""]",2.9 Release Notes
16,github:release,🔖 pytorch/pytorch — v2.8.0,https://github.com/pytorch/pytorch/releases/tag/v2.8.0,2025-08-06 17:06:10+00,0.85,"[""GitHub"",""Release""]",PyTorch 2.8.0 Release
17,github:release,🔖 pytorch/pytorch — v2.7.1,https://github.com/pytorch/pytorch/releases/tag/v2.7.1,2025-06-04 18:13:15+00,0.85,"[""GitHub"",""Release""]","PyTorch 2.7.1 Release, bug fix release"
18,github:tag,🏷️ pytorch/pytorch — Tag whc_flight_4,https://github.com/pytorch/pytorch/releases/tag/whc_flight_4,,0.78,"[""GitHub"",""Tag""]",New tag whc_flight_4 in pytorch/pytorch.
19,github:tag,🏷️ pytorch/pytorch — Tag whc_flight_2,https://github.com/pytorch/pytorch/releases/tag/whc_flight_2,,0.78,"[""GitHub"",""Tag""]",New tag whc_flight_2 in pytorch/pytorch.
20,github:tag,🏷️ pytorch/pytorch — Tag whc_flight_1,https://github.com/pytorch/pytorch/releases/tag/whc_flight_1,,0.78,"[""GitHub"",""Tag""]",New tag whc_flight_1 in pytorch/pytorch.
21,github:release,🔖 huggingface/transformers — v4.57.1,https://github.com/huggingface/transformers/releases/tag/v4.57.1,2025-10-14 15:39:34+00,0.85,"[""GitHub"",""Release""]",Patch release v4.57.1
22,github:release,🔖 huggingface/transformers — v4.57.0,https://github.com/huggingface/transformers/releases/tag/v4.57.0,2025-10-03 17:04:51+00,0.85,"[""GitHub"",""Release""]","v4.57.0: Qwen3-Next, Vault Gemma, Qwen3 VL, LongCat Flash, Flex OLMO, LFM2 VL, BLT, Qwen3 OMNI MoE, Parakeet, EdgeTAM, OLMO3"
23,github:release,🔖 huggingface/transformers — v4.56.2,https://github.com/huggingface/transformers/releases/tag/v4.56.2,2025-09-17 09:13:17+00,0.85,"[""GitHub"",""Release""]"," Patch release v4.56.2"
24,github:tag,🏷️ huggingface/transformers — Tag v4.57.1,https://github.com/huggingface/transformers/releases/tag/v4.57.1,,0.78,"[""GitHub"",""Tag""]",New tag v4.57.1 in huggingface/transformers.
25,github:tag,🏷️ huggingface/transformers — Tag v4.57.0,https://github.com/huggingface/transformers/releases/tag/v4.57.0,,0.78,"[""GitHub"",""Tag""]",New tag v4.57.0 in huggingface/transformers.
26,github:tag,🏷️ huggingface/transformers — Tag v4.56.2,https://github.com/huggingface/transformers/releases/tag/v4.56.2,,0.78,"[""GitHub"",""Tag""]",New tag v4.56.2 in huggingface/transformers.
27,github:release,🔖 openai/whisper — v20250625,https://github.com/openai/whisper/releases/tag/v20250625,2025-06-26 01:06:09+00,0.85,"[""GitHub"",""Release""]",v20250625
28,github:release,🔖 openai/whisper — v20240930,https://github.com/openai/whisper/releases/tag/v20240930,2024-09-30 18:21:20+00,0.85,"[""GitHub"",""Release""]",v20240930
29,github:release,🔖 openai/whisper — v20240927,https://github.com/openai/whisper/releases/tag/v20240927,2024-09-27 23:44:27+00,0.85,"[""GitHub"",""Release""]",v20240927
30,github:tag,🏷️ openai/whisper — Tag v20250625,https://github.com/openai/whisper/releases/tag/v20250625,,0.78,"[""GitHub"",""Tag""]",New tag v20250625 in openai/whisper.
31,github:tag,🏷️ openai/whisper — Tag v20240930,https://github.com/openai/whisper/releases/tag/v20240930,,0.78,"[""GitHub"",""Tag""]",New tag v20240930 in openai/whisper.
32,github:tag,🏷️ openai/whisper — Tag v20240927,https://github.com/openai/whisper/releases/tag/v20240927,,0.78,"[""GitHub"",""Tag""]",New tag v20240927 in openai/whisper.
33,github:release,🔖 kubernetes/kubernetes — v1.35.0-alpha.2,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.2,2025-10-22 22:03:54+00,0.85,"[""GitHub"",""Release""]",Kubernetes v1.35.0-alpha.2
34,github:release,🔖 kubernetes/kubernetes — v1.35.0-alpha.1,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.1,2025-10-08 14:22:33+00,0.85,"[""GitHub"",""Release""]",Kubernetes v1.35.0-alpha.1
35,github:release,🔖 kubernetes/kubernetes — v1.34.1,https://github.com/kubernetes/kubernetes/releases/tag/v1.34.1,2025-09-10 03:28:09+00,0.85,"[""GitHub"",""Release""]",Kubernetes v1.34.1
36,github:tag,🏷️ kubernetes/kubernetes — Tag v1.35.0-alpha.2,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.2,,0.78,"[""GitHub"",""Tag""]",New tag v1.35.0-alpha.2 in kubernetes/kubernetes.
37,github:tag,🏷️ kubernetes/kubernetes — Tag v1.35.0-alpha.1,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.1,,0.78,"[""GitHub"",""Tag""]",New tag v1.35.0-alpha.1 in kubernetes/kubernetes.
38,github:tag,🏷️ kubernetes/kubernetes — Tag v1.35.0-alpha.0,https://github.com/kubernetes/kubernetes/releases/tag/v1.35.0-alpha.0,,0.78,"[""GitHub"",""Tag""]",New tag v1.35.0-alpha.0 in kubernetes/kubernetes.
39,github:release,🔖 google/flax — v0.12.0,https://github.com/google/flax/releases/tag/v0.12.0,2025-09-25 23:58:17+00,0.85,"[""GitHub"",""Release""]",0.12.0
